05-04-2023 11:12:30.408 +0000 INFO  WatchdogActions - WatchdogActionsManager reload started.
05-04-2023 11:12:30.410 +0000 INFO  Watchdog - Starting WatchdogThread for process pid=1255. Threads monitoring is enabled with response timeout set to 8000 ms.
05-04-2023 11:23:21.290 +0000 INFO  WatchdogActions - WatchdogActionsManager reload started.
05-04-2023 11:23:21.293 +0000 INFO  Watchdog - Starting WatchdogThread for process pid=1092. Threads monitoring is enabled with response timeout set to 8000 ms.
05-04-2023 11:29:46.081 +0000 INFO  WatchdogActions - WatchdogActionsManager reload started.
05-04-2023 11:29:46.085 +0000 INFO  Watchdog - Starting WatchdogThread for process pid=1093. Threads monitoring is enabled with response timeout set to 8000 ms.
05-04-2023 11:31:53.198 +0000 INFO  WatchdogActions - WatchdogActionsManager reload started.
05-04-2023 11:31:53.201 +0000 INFO  Watchdog - Starting WatchdogThread for process pid=1092. Threads monitoring is enabled with response timeout set to 8000 ms.
05-04-2023 11:36:08.715 +0000 INFO  WatchdogActions - WatchdogActionsManager reload started.
05-04-2023 11:36:08.718 +0000 INFO  Watchdog - Starting WatchdogThread for process pid=1214. Threads monitoring is enabled with response timeout set to 8000 ms.
05-04-2023 11:43:08.385 +0000 INFO  WatchdogActions - WatchdogActionsManager reload started.
05-04-2023 11:43:08.388 +0000 INFO  Watchdog - Starting WatchdogThread for process pid=1187. Threads monitoring is enabled with response timeout set to 8000 ms.
05-04-2023 11:55:29.877 +0000 INFO  WatchdogActions - WatchdogActionsManager reload started.
05-04-2023 11:55:29.879 +0000 INFO  Watchdog - Starting WatchdogThread for process pid=1092. Threads monitoring is enabled with response timeout set to 8000 ms.
05-04-2023 12:03:45.304 +0000 INFO  WatchdogActions - WatchdogActionsManager reload started.
05-04-2023 12:03:45.308 +0000 INFO  Watchdog - Starting WatchdogThread for process pid=1084. Threads monitoring is enabled with response timeout set to 8000 ms.
05-04-2023 12:06:19.177 +0000 INFO  WatchdogActions - WatchdogActionsManager reload started.
05-04-2023 12:06:19.186 +0000 INFO  Watchdog - Starting WatchdogThread for process pid=1092. Threads monitoring is enabled with response timeout set to 8000 ms.
05-05-2023 12:38:17.026 +0000 INFO  Watchdog - No response received from IMonitoredThread=0x7f6e559ee830 within elapsed=8000 ms. Looks like thread_name="TelemetryMetricBuffer" thread_id=1483 is busy !? Starting to trace with timeout=8000 ms interval.
05-05-2023 12:38:27.054 +0000 INFO  Watchdog - No response received from IMonitoredThread=0x7f6e559ee830 within elapsed=8000 ms. Looks like thread_name="TelemetryMetricBuffer" thread_id=1483 is busy !? Starting to trace with timeout=8000 ms interval.
